onset	duration	item	rotation	accuracy	reaction_time	stim_file
10.0344	1	B5	0	1	1.2331	sub-01_stim-commstruc_B5.jpg
12.0736	1	B3	0	1	0.58574	sub-01_stim-commstruc_B3.jpg
14.1127	1	B4	0	1	0.77042	sub-01_stim-commstruc_B4.jpg
18.151	1	B5	0	1	0.66277	sub-01_stim-commstruc_B5.jpg
24.1884	1	B2	90	1	0.90568	sub-01_stim-commstruc_B2.jpg
26.2275	1	B5	0	1	0.5914	sub-01_stim-commstruc_B5.jpg
28.2667	1	B2	0	1	0.69106	sub-01_stim-commstruc_B2.jpg
32.305	1	B1	90	0	0.88451	sub-01_stim-commstruc_B1.jpg
36.3432	1	A5	0	1	1.0295	sub-01_stim-commstruc_A5.jpg
42.4073	1	A4	0	1	1.1343	sub-01_stim-commstruc_A4.jpg
46.4456	1	A1	0	1	0.85292	sub-01_stim-commstruc_A1.jpg
48.4847	1	A2	0	1	0.67787	sub-01_stim-commstruc_A2.jpg
50.5239	1	A5	0	1	0.90634	sub-01_stim-commstruc_A5.jpg
52.563	1	B1	0	1	0.90719	sub-01_stim-commstruc_B1.jpg
54.6021	1	B4	90	1	1.0297	sub-01_stim-commstruc_B4.jpg
58.6404	1	B3	0	1	0.6698	sub-01_stim-commstruc_B3.jpg
62.6787	1	B2	0	1	0.66959	sub-01_stim-commstruc_B2.jpg
66.717	1	B1	0	1	0.80034	sub-01_stim-commstruc_B1.jpg
68.7561	1	A5	0	1	0.57413	sub-01_stim-commstruc_A5.jpg
72.7944	1	A4	0	1	0.87225	sub-01_stim-commstruc_A4.jpg
74.8335	1	A3	0	1	0.97726	sub-01_stim-commstruc_A3.jpg
76.8726	1	A2	0	1	0.63386	sub-01_stim-commstruc_A2.jpg
82.91	1	A1	0	1	0.69347	sub-01_stim-commstruc_A1.jpg
88.9475	1	C5	0	1	0.97849	sub-01_stim-commstruc_C5.jpg
90.9866	1	C4	0	1	1.0006	sub-01_stim-commstruc_C4.jpg
95.0249	1	C3	90	1	0.85323	sub-01_stim-commstruc_C3.jpg
101.0623	1	C2	0	1	0.93281	sub-01_stim-commstruc_C2.jpg
105.1006	1	C1	0	1	0.84749	sub-01_stim-commstruc_C1.jpg
107.1397	1	B5	0	1	0.72995	sub-01_stim-commstruc_B5.jpg
109.1789	1	B4	0	1	1.147	sub-01_stim-commstruc_B4.jpg
113.2171	1	B5	0	1	0.74908	sub-01_stim-commstruc_B5.jpg
115.2563	1	C1	90	1	1.2189	sub-01_stim-commstruc_C1.jpg
117.2954	1	C3	0	1	0.86155	sub-01_stim-commstruc_C3.jpg
119.3345	1	C1	0	1	0.69358	sub-01_stim-commstruc_C1.jpg
121.3737	1	C3	0	1	0.78186	sub-01_stim-commstruc_C3.jpg
125.4119	1	C5	0	1	0.63897	sub-01_stim-commstruc_C5.jpg
129.4502	1	C2	0	1	0.68885	sub-01_stim-commstruc_C2.jpg
133.4885	1	C4	0	1	0.86124	sub-01_stim-commstruc_C4.jpg
137.5268	1	C3	0	1	0.66288	sub-01_stim-commstruc_C3.jpg
139.5659	1	C5	90	1	0.95722	sub-01_stim-commstruc_C5.jpg
145.6033	1	C2	0	1	0.75338	sub-01_stim-commstruc_C2.jpg
149.6416	1	C4	0	1	0.71346	sub-01_stim-commstruc_C4.jpg
153.6799	1	C2	0	1	0.57248	sub-01_stim-commstruc_C2.jpg
157.7182	1	C1	0	1	0.58335	sub-01_stim-commstruc_C1.jpg
161.7564	1	C4	0	1	0.6777	sub-01_stim-commstruc_C4.jpg
165.7947	1	C3	0	1	0.7533	sub-01_stim-commstruc_C3.jpg
169.833	1	C2	0	1	0.64333	sub-01_stim-commstruc_C2.jpg
175.8704	1	C1	0	1	0.70346	sub-01_stim-commstruc_C1.jpg
179.9087	1	B5	0	1	0.66146	sub-01_stim-commstruc_B5.jpg
185.9461	1	B4	0	1	0.97915	sub-01_stim-commstruc_B4.jpg
191.9836	1	B3	0	1	0.69877	sub-01_stim-commstruc_B3.jpg
194.0227	1	B2	0	1	0.81348	sub-01_stim-commstruc_B2.jpg
196.0618	1	B1	0	1	0.98117	sub-01_stim-commstruc_B1.jpg
198.101	1	A5	0	1	0.73728	sub-01_stim-commstruc_A5.jpg
202.1392	1	A4	0	1	0.75889	sub-01_stim-commstruc_A4.jpg
206.1775	1	A3	0	1	0.8254	sub-01_stim-commstruc_A3.jpg
208.2166	1	A2	0	1	0.86067	sub-01_stim-commstruc_A2.jpg
212.2549	1	A1	0	1	0.74284	sub-01_stim-commstruc_A1.jpg
216.2932	1	C5	0	1	0.72532	sub-01_stim-commstruc_C5.jpg
220.3315	1	C4	0	1	0.63268	sub-01_stim-commstruc_C4.jpg
222.3706	1	C3	0	1	0.80303	sub-01_stim-commstruc_C3.jpg
228.408	1	C5	0	1	0.76523	sub-01_stim-commstruc_C5.jpg
232.4463	1	A1	0	1	0.63993	sub-01_stim-commstruc_A1.jpg
238.4837	1	C5	0	1	0.64174	sub-01_stim-commstruc_C5.jpg
244.5345	1	C3	90	1	1.3245	sub-01_stim-commstruc_C3.jpg
248.5728	1	C4	0	1	0.61517	sub-01_stim-commstruc_C4.jpg
252.6111	1	C3	0	1	0.64017	sub-01_stim-commstruc_C3.jpg
258.6485	1	C5	0	1	0.55595	sub-01_stim-commstruc_C5.jpg
262.6868	1	C4	90	1	0.8838	sub-01_stim-commstruc_C4.jpg
266.725	1	C5	90	1	0.81337	sub-01_stim-commstruc_C5.jpg
